user_id,date,screen_time_minutes,keystroke_speed_wpm,sleep_hours_last_night,task_switch_frequency_per_hr,break_frequency_per_hr,stress_level
U0001,2025-01-01,290.6,72.16,7.4,3.86,1.54,10.16
U0001,2025-01-02,353.48,67.16,7.34,4.14,1.63,23.56
U0001,2025-01-03,319.78,66.35,4.25,4.78,1.84,40.68
U0001,2025-01-04,169.73,78.87,8.26,6.01,1.57,4.9
U0001,2025-01-05,233.76,68.68,7.73,5.42,1.02,2.77
U0001,2025-01-06,349.97,75.64,6.58,4.77,1.85,16.04
U0001,2025-01-07,256.14,69.03,5.67,3.64,1.84,36.6
U0001,2025-01-08,356.99,77.21,7.28,5.48,1.46,28.45
U0001,2025-01-09,308.74,71.39,7.49,8.26,1.33,43.38
U0001,2025-01-10,270.04,73.06,6.68,7.84,2.17,48.01
U0001,2025-01-11,78.85,78.59,8.23,5.38,1.8,4.91
U0001,2025-01-12,172.69,65.59,5.9,4.57,2.09,20.78
U0001,2025-01-13,357.94,73.96,5.96,5.58,1.85,43.23
U0001,2025-01-14,285.15,70.68,7.36,5.86,0.86,42.47
U0001,2025-01-15,316.97,71.15,6.65,3.81,1.38,41.11
U0001,2025-01-16,326.41,60.76,5.59,5.72,2.05,58.38
U0001,2025-01-17,319.45,82.32,4.71,7.8,1.35,72.02
U0001,2025-01-18,248.17,73.76,6.72,9.77,0.75,56.59
U0001,2025-01-19,157.11,69.22,6.49,7.98,1.47,61.1
U0001,2025-01-20,317.15,67.0,7.26,10.27,0.4,71.36
U0001,2025-01-21,281.5,66.27,5.47,11.23,0.23,83.89
U0001,2025-01-22,302.14,67.93,7.7,6.0,1.62,69.92
U0001,2025-01-23,328.01,69.28,5.52,8.46,0.91,87.32
U0001,2025-01-24,324.61,60.86,5.67,12.32,1.36,97.99
U0001,2025-01-25,162.94,61.3,6.93,11.76,1.33,70.12
U0001,2025-01-26,185.7,64.29,8.83,7.7,0.47,52.74
U0001,2025-01-27,329.19,72.19,6.73,9.51,1.61,71.22
U0001,2025-01-28,273.41,73.72,9.11,9.05,0.94,61.09
U0001,2025-01-29,296.38,72.72,7.13,11.06,0.84,67.81
U0001,2025-01-30,324.54,69.66,5.88,7.93,0.9,83.28
U0001,2025-01-31,356.0,71.67,5.25,8.71,1.28,100.0
U0001,2025-02-01,210.44,67.63,7.28,10.67,1.03,78.85
U0001,2025-02-02,239.67,70.79,7.9,9.21,1.17,57.04
